,"Pets live on this property,Suitable for Events,Wireless Internet,Iron,Elevator in Building,Family/Kid Friendly,TV,Dog(s),Fire Extinguisher,Indoor Fireplace,Hair Dryer,Safety Card,Hangers,Cable TV,Dryer,Hot Tub,Free Parking on Premises,Buzzer/Wireless Intercom,Washer,Breakfast,Carbon Monoxide Detector,Cat(s),Gym,Heating,Smoke Detector,Essentials,First Aid Kit,Shampoo,Laptop Friendly Workspace,Kitchen,Wheelchair Accessible,Internet,24-Hour Check-in"
Fairmount Park,"Elevator in Building,Family/Kid Friendly,Suitable for Events,Pets Allowed,Iron,Wireless Internet,Pets live on this property,Internet,Laptop Friendly Workspace,Wheelchair Accessible,24-Hour Check-in,Kitchen,Shampoo,Smoke Detector,Heating,Air Conditioning,Essentials,First Aid Kit,Buzzer/Wireless Intercom,Carbon Monoxide Detector,Breakfast,Washer,Cat(s),Gym,Cable TV,Dryer,Hangers,Free Parking on Premises,Safety Card,TV,Fire Extinguisher,Hair Dryer,Dog(s),Indoor Fireplace"
Cedar Park,"Elevator in Building,Family/Kid Friendly,Smoking Allowed,Pets live on this property,Wireless Internet,Pets Allowed,Wheelchair Accessible,Kitchen,Internet,Shampoo,Heating,Smoke Detector,Essentials,Air Conditioning,First Aid Kit,Washer,Cat(s),Carbon Monoxide Detector,Buzzer/Wireless Intercom,Dryer,Cable TV,Safety Card,Hot Tub,Free Parking on Premises,Fire Extinguisher,Indoor Fireplace,TV"
Seward Park,"Family/Kid Friendly,Pets Allowed,Pool,Wireless Internet,Suitable for Events,Pets live on this property,Iron,Internet,Laptop Friendly Workspace,Kitchen,Wheelchair Accessible,24-Hour Check-in,Lock on Bedroom Door,Shampoo,First Aid Kit,Heating,Essentials,Smoke Detector,Air Conditioning,Cat(s),Carbon Monoxide Detector,Washer,Breakfast,Free Parking on Premises,Safety Card,Cable TV,Other pet(s),Hot Tub,Dryer,Hangers,TV,Fire Extinguisher,Dog(s),Hair Dryer,Indoor Fireplace"
Portage Bay,"Family/Kid Friendly,Elevator in Building,Pets Allowed,Iron,Wireless Internet,Pets live on this property,Kitchen,Laptop Friendly Workspace,Internet,24-Hour Check-in,Shampoo,Lock on Bedroom Door,Essentials,Heating,Air Conditioning,Smoke Detector,First Aid Kit,Carbon Monoxide Detector,Washer,Buzzer/Wireless Intercom,Hangers,Dryer,Cable TV,Free Parking on Premises,Safety Card,Indoor Fireplace,Fire Extinguisher,Dog(s),Hair Dryer,TV"
South Lake Union,"Smoking Allowed,Elevator in Building,Family/Kid Friendly,Suitable for Events,Pets live on this property,Pets Allowed,Iron,Wireless Internet,Kitchen,Wheelchair Accessible,24-Hour Check-in,Laptop Friendly Workspace,Internet,Shampoo,Smoke Detector,Heating,Air Conditioning,First Aid Kit,Essentials,Breakfast,Gym,Cat(s),Carbon Monoxide Detector,Buzzer/Wireless Intercom,Washer,Doorman,Hangers,Dryer,Hot Tub,Safety Card,Cable TV,Free Parking on Premises,TV,Indoor Fireplace,Hair Dryer,Fire Extinguisher,Dog(s)"
University District,"Smoking Allowed,Family/Kid Friendly,Elevator in Building,Pets Allowed,Suitable for Events,Pets live on this property,Pool,Iron,Wireless Internet,Wheelchair Accessible,Internet,24-Hour Check-in,Laptop Friendly Workspace,Kitchen,Lock on Bedroom Door,Shampoo,Essentials,Smoke Detector,First Aid Kit,Air Conditioning,Heating,Breakfast,Cat(s),Buzzer/Wireless Intercom,Gym,Washer,Carbon Monoxide Detector,Cable TV,Safety Card,Free Parking on Premises,Hangers,Dryer,Hot Tub,Doorman,Hair Dryer,,TV,Dog(s),Indoor Fireplace,Fire Extinguisher"
Adams,"Elevator in Building,Family/Kid Friendly,Wireless Internet,Iron,Suitable for Events,Pets live on this property,Pets Allowed,Internet,24-Hour Check-in,Kitchen,Wheelchair Accessible,Laptop Friendly Workspace,Shampoo,Lock on Bedroom Door,First Aid Kit,Essentials,Heating,Smoke Detector,Air Conditioning,Breakfast,Buzzer/Wireless Intercom,Carbon Monoxide Detector,Washer,Gym,Cat(s),Dryer,Free Parking on Premises,Hot Tub,Cable TV,Safety Card,Hangers,Indoor Fireplace,,Fire Extinguisher,TV,Dog(s),Hair Dryer"
Broadview,"Shampoo,Free Parking on Premises,Other pet(s),Safety Card,Dryer,Cable TV,Breakfast,Washer,Carbon Monoxide Detector,Cat(s),Smoking Allowed,Family/Kid Friendly,Fire Extinguisher,Indoor Fireplace,Dog(s),TV,Kitchen,Internet,Wireless Internet,Pets live on this property,Pets Allowed,Heating,Air Conditioning,Smoke Detector,First Aid Kit,Essentials"
Roosevelt,"Shampoo,Lock on Bedroom Door,Hangers,Safety Card,Other pet(s),Dryer,Hot Tub,Cable TV,Free Parking on Premises,Buzzer/Wireless Intercom,Washer,Gym,Cat(s),Carbon Monoxide Detector,Breakfast,Elevator in Building,Family/Kid Friendly,Smoking Allowed,TV,Indoor Fireplace,Hair Dryer,Fire Extinguisher,Dog(s),Wheelchair Accessible,Laptop Friendly Workspace,Kitchen,Internet,24-Hour Check-in,Suitable for Events,Pets live on this property,Wireless Internet,Pets Allowed,Iron,Essentials,Air Conditioning,Heating,Smoke Detector,First Aid Kit"
Holly Park,"Shampoo,Lock on Bedroom Door,Safety Card,Free Parking on Premises,Hot Tub,Cable TV,Hangers,Dryer,Carbon Monoxide Detector,Washer,Breakfast,Gym,Elevator in Building,Family/Kid Friendly,,Indoor Fireplace,Hair Dryer,Fire Extinguisher,Dog(s),TV,Laptop Friendly Workspace,Kitchen,Internet,Pets Allowed,Iron,Pets live on this property,Wireless Internet,Air Conditioning,Smoke Detector,Essentials,First Aid Kit,Heating"
Yesler Terrace,"Shampoo,Lock on Bedroom Door,Cable TV,Dryer,Free Parking on Premises,Hangers,Safety Card,Buzzer/Wireless Intercom,Gym,Breakfast,Carbon Monoxide Detector,Washer,Elevator in Building,Smoking Allowed,Family/Kid Friendly,Fire Extinguisher,Hair Dryer,Dog(s),Indoor Fireplace,TV,,Wheelchair Accessible,Laptop Friendly Workspace,Internet,24-Hour Check-in,Kitchen,Suitable for Events,Iron,Pets Allowed,Wireless Internet,Pets live on this property,Heating,First Aid Kit,Essentials,Smoke Detector,Air Conditioning"
Ravenna,"Lock on Bedroom Door,Shampoo,Free Parking on Premises,Hot Tub,Cable TV,Hangers,Safety Card,Dryer,Cat(s),Breakfast,Washer,Carbon Monoxide Detector,Buzzer/Wireless Intercom,Family/Kid Friendly,Fire Extinguisher,Indoor Fireplace,Dog(s),TV,Hair Dryer,Internet,Wheelchair Accessible,Kitchen,Laptop Friendly Workspace,24-Hour Check-in,Suitable for Events,Pets Allowed,Wireless Internet,Iron,Pets live on this property,Smoke Detector,Essentials,Heating,Air Conditioning,First Aid Kit"
Minor,"Shampoo,Lock on Bedroom Door,Safety Card,Cable TV,Hangers,Other pet(s),Free Parking on Premises,Hot Tub,Dryer,Washer,Cat(s),Carbon Monoxide Detector,Gym,Buzzer/Wireless Intercom,Breakfast,Elevator in Building,Family/Kid Friendly,Smoking Allowed,Hair Dryer,Fire Extinguisher,,Indoor Fireplace,Dog(s),TV,Laptop Friendly Workspace,Wheelchair Accessible,Internet,Kitchen,24-Hour Check-in,Suitable for Events,Iron,Pets live on this property,Wireless Internet,Pets Allowed,Air Conditioning,First Aid Kit,Smoke Detector,Heating,Essentials"
East Queen Anne,"Shampoo,Safety Card,Dryer,Cable TV,Hot Tub,Free Parking on Premises,Hangers,Cat(s),Buzzer/Wireless Intercom,Washer,Carbon Monoxide Detector,Breakfast,Gym,Elevator in Building,Smoking Allowed,Family/Kid Friendly,Fire Extinguisher,,Dog(s),Indoor Fireplace,Hair Dryer,TV,Wheelchair Accessible,Laptop Friendly Workspace,24-Hour Check-in,Kitchen,Internet,Suitable for Events,Pets live on this property,Pets Allowed,Iron,Wireless Internet,Air Conditioning,Essentials,Heating,First Aid Kit,Smoke Detector"
Loyal Heights,"Lock on Bedroom Door,Shampoo,Cable TV,Dryer,Free Parking on Premises,Safety Card,Hangers,Hot Tub,Cat(s),Gym,Breakfast,Buzzer/Wireless Intercom,Washer,Carbon Monoxide Detector,Smoking Allowed,Elevator in Building,Family/Kid Friendly,Indoor Fireplace,,Hair Dryer,TV,Dog(s),Fire Extinguisher,Laptop Friendly Workspace,Kitchen,24-Hour Check-in,Washer / Dryer,Internet,Pets live on this property,Pets Allowed,Iron,Wireless Internet,Suitable for Events,Smoke Detector,Heating,Essentials,Air Conditioning,First Aid Kit"
Central Business District,"Shampoo,Doorman,Hot Tub,Dryer,Free Parking on Premises,Cable TV,Hangers,Safety Card,Buzzer/Wireless Intercom,Carbon Monoxide Detector,Gym,Washer,Breakfast,Cat(s),Smoking Allowed,Elevator in Building,Family/Kid Friendly,Fire Extinguisher,Dog(s),Hair Dryer,,TV,Indoor Fireplace,24-Hour Check-in,Laptop Friendly Workspace,Internet,Wheelchair Accessible,Kitchen,Pets live on this property,Suitable for Events,Pool,Wireless Internet,Iron,Pets Allowed,First Aid Kit,Smoke Detector,Air Conditioning,Heating,Essentials"
Dunlap,"Shampoo,Lock on Bedroom Door,Safety Card,Free Parking on Premises,Dryer,Other pet(s),Cable TV,Hot Tub,Washer,Gym,Carbon Monoxide Detector,Breakfast,Cat(s),Buzzer/Wireless Intercom,Family/Kid Friendly,TV,Indoor Fireplace,Dog(s),Fire Extinguisher,Wheelchair Accessible,Internet,Kitchen,Wireless Internet,Pets Allowed,Pets live on this property,Suitable for Events,Heating,Air Conditioning,Smoke Detector,First Aid Kit,Essentials"
Rainier Beach,"Lock on Bedroom Door,Shampoo,Safety Card,Free Parking on Premises,Other pet(s),Dryer,Cable TV,Hot Tub,Hangers,Buzzer/Wireless Intercom,Carbon Monoxide Detector,Washer,Cat(s),Breakfast,Smoking Allowed,Family/Kid Friendly,Hair Dryer,Fire Extinguisher,Dog(s),Indoor Fireplace,TV,24-Hour Check-in,Internet,Laptop Friendly Workspace,Wheelchair Accessible,Kitchen,Iron,Wireless Internet,Pets live on this property,Pets Allowed,Suitable for Events,Heating,Smoke Detector,First Aid Kit,Essentials"
North Admiral,"Shampoo,Free Parking on Premises,Safety Card,Other pet(s),Dryer,Hot Tub,Cable TV,Hangers,Carbon Monoxide Detector,Breakfast,Gym,Cat(s),Buzzer/Wireless Intercom,Washer,Family/Kid Friendly,Elevator in Building,Smoking Allowed,Hair Dryer,TV,Dog(s),Fire Extinguisher,Indoor Fireplace,Kitchen,24-Hour Check-in,Wheelchair Accessible,Laptop Friendly Workspace,Internet,Pets Allowed,Suitable for Events,Wireless Internet,Iron,Pets live on this property,Essentials,First Aid Kit,Heating,Air Conditioning,Smoke Detector"
Whittier Heights,"Shampoo,Lock on Bedroom Door,Hot Tub,Safety Card,Free Parking on Premises,Cable TV,Other pet(s),Dryer,Hangers,Cat(s),Carbon Monoxide Detector,Breakfast,Washer,Gym,Elevator in Building,Family/Kid Friendly,Fire Extinguisher,Dog(s),TV,Indoor Fireplace,Hair Dryer,Wheelchair Accessible,Laptop Friendly Workspace,Kitchen,24-Hour Check-in,Internet,Suitable for Events,Pets Allowed,Pets live on this property,Wireless Internet,Iron,Heating,First Aid Kit,Essentials,Smoke Detector,Air Conditioning"
Mann,"Shampoo,Lock on Bedroom Door,Free Parking on Premises,Cable TV,Other pet(s),Safety Card,Hot Tub,Hangers,Dryer,Breakfast,Carbon Monoxide Detector,Washer,Gym,Buzzer/Wireless Intercom,Cat(s),Smoking Allowed,Elevator in Building,Family/Kid Friendly,Indoor Fireplace,TV,,Dog(s),Fire Extinguisher,Hair Dryer,Laptop Friendly Workspace,24-Hour Check-in,Internet,Kitchen,Wheelchair Accessible,Pets Allowed,Suitable for Events,Iron,Pets live on this property,Wireless Internet,Air Conditioning,Smoke Detector,First Aid Kit,Heating,Essentials"
Bryant,"Shampoo,Lock on Bedroom Door,Cable TV,Free Parking on Premises,Hangers,Dryer,Safety Card,Hot Tub,Washer,Carbon Monoxide Detector,Gym,Cat(s),Family/Kid Friendly,Dog(s),Fire Extinguisher,Hair Dryer,,Indoor Fireplace,TV,24-Hour Check-in,Kitchen,Wheelchair Accessible,Internet,Laptop Friendly Workspace,Iron,Pets Allowed,Wireless Internet,Pets live on this property,Suitable for Events,Smoke Detector,Heating,Air Conditioning,Essentials,First Aid Kit"
Alki,"Hangers,Hot Tub,Cable TV,Free Parking on Premises,Safety Card,Dryer,Lock on Bedroom Door,Shampoo,Essentials,Heating,First Aid Kit,Smoke Detector,Air Conditioning,Suitable for Events,Pets live on this property,Wireless Internet,Iron,Pets Allowed,24-Hour Check-in,Kitchen,Laptop Friendly Workspace,Wheelchair Accessible,Internet,Fire Extinguisher,Indoor Fireplace,TV,,Dog(s),Hair Dryer,Elevator in Building,Family/Kid Friendly,Smoking Allowed,Washer,Cat(s),Breakfast,Carbon Monoxide Detector,Buzzer/Wireless Intercom"
Genesee,"Hangers,Safety Card,Cable TV,Hot Tub,Free Parking on Premises,Dryer,Shampoo,Lock on Bedroom Door,Heating,First Aid Kit,Smoke Detector,Essentials,Air Conditioning,Suitable for Events,Pets live on this property,Wireless Internet,Iron,Pets Allowed,Kitchen,Internet,24-Hour Check-in,Laptop Friendly Workspace,Wheelchair Accessible,Fire Extinguisher,Dog(s),Hair Dryer,TV,Indoor Fireplace,Elevator in Building,Family/Kid Friendly,Washer,Carbon Monoxide Detector,Breakfast,Buzzer/Wireless Intercom,Cat(s)"
Mid-Beacon Hill,"Hot Tub,Dryer,Hangers,Free Parking on Premises,Cable TV,Safety Card,Lock on Bedroom Door,Shampoo,Air Conditioning,Smoke Detector,Essentials,First Aid Kit,Heating,Suitable for Events,Iron,Pets live on this property,Pets Allowed,Wireless Internet,24-Hour Check-in,Internet,Laptop Friendly Workspace,Kitchen,Wheelchair Accessible,Hair Dryer,Fire Extinguisher,Indoor Fireplace,Dog(s),TV,Family/Kid Friendly,Buzzer/Wireless Intercom,Carbon Monoxide Detector,Cat(s),Gym,Breakfast,Washer"
Meadowbrook,"Hangers,Cable TV,Hot Tub,Free Parking on Premises,Safety Card,Dryer,Shampoo,Lock on Bedroom Door,Smoke Detector,First Aid Kit,Heating,Essentials,Pets Allowed,Wireless Internet,Suitable for Events,Iron,Pets live on this property,24-Hour Check-in,Wheelchair Accessible,Kitchen,Laptop Friendly Workspace,Internet,Indoor Fireplace,TV,Hair Dryer,Fire Extinguisher,Smoking Allowed,Family/Kid Friendly,Breakfast,Cat(s),Washer,Carbon Monoxide Detector"
Maple Leaf,"Safety Card,Other pet(s),Free Parking on Premises,Hangers,Dryer,Cable TV,Hot Tub,Lock on Bedroom Door,Shampoo,Smoke Detector,Essentials,First Aid Kit,Heating,Air Conditioning,Wireless Internet,Pool,Suitable for Events,Pets Allowed,Iron,Pets live on this property,Wheelchair Accessible,Laptop Friendly Workspace,Kitchen,24-Hour Check-in,Internet,Hair Dryer,TV,Dog(s),Fire Extinguisher,Indoor Fireplace,Family/Kid Friendly,Elevator in Building,Smoking Allowed,Washer,Cat(s),Gym,Carbon Monoxide Detector,Buzzer/Wireless Intercom,Breakfast"
South Beacon Hill,"Dryer,Hangers,Free Parking on Premises,Cable TV,Shampoo,Lock on Bedroom Door,Smoke Detector,First Aid Kit,Heating,Essentials,Wireless Internet,Iron,Pets Allowed,Pets live on this property,Laptop Friendly Workspace,Wheelchair Accessible,Kitchen,24-Hour Check-in,Internet,TV,Indoor Fireplace,Fire Extinguisher,Family/Kid Friendly,Carbon Monoxide Detector,Washer,Cat(s)"
Brighton,"Safety Card,Cable TV,Free Parking on Premises,Hot Tub,Dryer,Hangers,Shampoo,Lock on Bedroom Door,Smoke Detector,Air Conditioning,Heating,Essentials,First Aid Kit,Suitable for Events,Wireless Internet,Iron,Pets live on this property,Pets Allowed,24-Hour Check-in,Laptop Friendly Workspace,Kitchen,Internet,TV,Hair Dryer,Indoor Fireplace,Dog(s),Fire Extinguisher,Elevator in Building,Family/Kid Friendly,Carbon Monoxide Detector,Cat(s),Gym,Washer,Breakfast"
Pinehurst,"Hot Tub,Free Parking on Premises,Dryer,Shampoo,First Aid Kit,Smoke Detector,Essentials,Heating,Pets live on this property,Wireless Internet,Pool,Iron,Internet,Kitchen,Wheelchair Accessible,Indoor Fireplace,Fire Extinguisher,Hair Dryer,TV,Family/Kid Friendly,Carbon Monoxide Detector,Washer"
Madison Park,"Cable TV,Dryer,Free Parking on Premises,Safety Card,Hangers,Shampoo,Essentials,First Aid Kit,Air Conditioning,Heating,Smoke Detector,Pets live on this property,Iron,Wireless Internet,Pets Allowed,Pool,Suitable for Events,Internet,Laptop Friendly Workspace,Kitchen,Indoor Fireplace,Dog(s),Fire Extinguisher,,TV,Hair Dryer,Elevator in Building,Family/Kid Friendly,Breakfast,Carbon Monoxide Detector,Cat(s),Washer,Buzzer/Wireless Intercom"
Stevens,"Free Parking on Premises,Other pet(s),Cable TV,Hot Tub,Safety Card,Dryer,Hangers,Lock on Bedroom Door,Shampoo,Heating,Air Conditioning,Essentials,First Aid Kit,Smoke Detector,Pets Allowed,Pets live on this property,Iron,Wireless Internet,Pool,Wheelchair Accessible,Internet,24-Hour Check-in,Kitchen,Laptop Friendly Workspace,TV,Fire Extinguisher,Dog(s),Hair Dryer,,Indoor Fireplace,Smoking Allowed,Elevator in Building,Family/Kid Friendly,Cat(s),Washer,Carbon Monoxide Detector,Buzzer/Wireless Intercom,Gym,Breakfast"
Greenwood,"Other pet(s),Cable TV,Hangers,Free Parking on Premises,Dryer,Hot Tub,Safety Card,Shampoo,Lock on Bedroom Door,Essentials,Heating,Air Conditioning,First Aid Kit,Smoke Detector,Suitable for Events,Iron,Pets live on this property,Pets Allowed,Wireless Internet,Pool,Kitchen,Internet,Laptop Friendly Workspace,Wheelchair Accessible,24-Hour Check-in,Dog(s),Indoor Fireplace,Hair Dryer,TV,,Fire Extinguisher,Family/Kid Friendly,Elevator in Building,Smoking Allowed,Carbon Monoxide Detector,Cat(s),Washer,Breakfast,Buzzer/Wireless Intercom,Gym"
South Park,"Cable TV,Hangers,Free Parking on Premises,Dryer,Shampoo,First Aid Kit,Smoke Detector,Air Conditioning,Heating,Essentials,Iron,Wireless Internet,Internet,Laptop Friendly Workspace,Kitchen,TV,Fire Extinguisher,Hair Dryer,Family/Kid Friendly,Carbon Monoxide Detector,Washer"
Madrona,"Hot Tub,Safety Card,Other pet(s),Dryer,Free Parking on Premises,Hangers,Cable TV,Shampoo,Lock on Bedroom Door,Heating,Essentials,First Aid Kit,Air Conditioning,Smoke Detector,Pets Allowed,Iron,Suitable for Events,Wireless Internet,Pets live on this property,Kitchen,Wheelchair Accessible,Internet,24-Hour Check-in,Laptop Friendly Workspace,Dog(s),Hair Dryer,Indoor Fireplace,Fire Extinguisher,TV,Family/Kid Friendly,Gym,Carbon Monoxide Detector,Washer,Cat(s),Breakfast,Buzzer/Wireless Intercom"
